Estado;"""#""";"""(""";""")""";"""<""";"""<=""";"""==""";""">""";""">=""";AritmExp;LogicalExp
->0;[];[3];[];[];[];[];[];[];[2];[]
10;[];[];[];[];[];[];[];[];[14];[]
11;[];[];[];[];[];[];[];[];[14];[]
12;[];[];[];[];[];[];[];[];[14];[]
13;[];[];[];[];[];[];[];[];[14];[]
*14;[13];[];[];[9];[8];[12];[10];[11];[];[]
*2;[13];[];[];[9];[8];[12];[10];[11];[];[]
3;[];[];[];[];[];[];[];[];[];[4]
4;[];[];[5];[];[];[];[];[];[];[]
*5;[13];[];[];[9];[8];[12];[10];[11];[];[]
8;[];[];[];[];[];[];[];[];[14];[]
9;[];[];[];[];[];[];[];[];[14];[]
